GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US00501,00501,"ZIP 00501 (Holtsville, NY)",00,Total for all sectors,2016,2,b,D,D
8610000US01001,01001,"ZIP 01001 (Agawam, MA)",00,Total for all sectors,2016,472,9127,88685,376492
8610000US01002,01002,"ZIP 01002 (Amherst, MA)",00,Total for all sectors,2016,564,18894,109167,472633
8610000US01003,01003,"ZIP 01003 (Amherst, MA)",00,Total for all sectors,2016,21,288,2371,10461
8610000US01004,01004,"ZIP 01004 (Amherst, MA)",00,Total for all sectors,2016,14,193,1335,5915
8610000US01005,01005,"ZIP 01005 (Barre, MA)",00,Total for all sectors,2016,95,1089,8439,34815
8610000US01007,01007,"ZIP 01007 (Belchertown, MA)",00,Total for all sectors,2016,229,1989,13957,63860
8610000US01008,01008,"ZIP 01008 (Blandford, MA)",00,Total for all sectors,2016,21,182,823,3382
8610000US01009,01009,"ZIP 01009 (Bondsville, MA)",00,Total for all sectors,2016,18,144,1288,5955
8610000US01010,01010,"ZIP 01010 (Brimfield, MA)",00,Total for all sectors,2016,75,287,3014,14954
8610000US01011,01011,"ZIP 01011 (Chester, MA)",00,Total for all sectors,2016,11,33,272,1138
8610000US01012,01012,"ZIP 01012 (Chesterfield, MA)",00,Total for all sectors,2016,10,51,273,1112
8610000US01013,01013,"ZIP 01013 (Chicopee, MA)",00,Total for all sectors,2016,333,4453,37955,167915
8610000US01014,01014,"ZIP 01014 (Chicopee, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01020,01020,"ZIP 01020 (Chicopee, MA)",00,Total for all sectors,2016,553,8900,78022,347295
8610000US01021,01021,"ZIP 01021 (Chicopee, MA)",00,Total for all sectors,2016,10,224,1370,6154
8610000US01022,01022,"ZIP 01022 (Chicopee, MA)",00,Total for all sectors,2016,58,2056,27760,111321
8610000US01026,01026,"ZIP 01026 (Cummington, MA)",00,Total for all sectors,2016,19,76,419,2984
8610000US01027,01027,"ZIP 01027 (Easthampton, MA)",00,Total for all sectors,2016,416,3866,35263,148200
8610000US01028,01028,"ZIP 01028 (East Longmeadow, MA)",00,Total for all sectors,2016,516,7448,73883,318073
8610000US01029,01029,"ZIP 01029 (East Otis, MA)",00,Total for all sectors,2016,14,266,2363,11538
8610000US01030,01030,"ZIP 01030 (Feeding Hills, MA)",00,Total for all sectors,2016,209,1223,8243,39120
8610000US01031,01031,"ZIP 01031 (Gilbertville, MA)",00,Total for all sectors,2016,20,61,259,1232
8610000US01032,01032,"ZIP 01032 (Goshen, MA)",00,Total for all sectors,2016,27,123,928,4589
8610000US01033,01033,"ZIP 01033 (Granby, MA)",00,Total for all sectors,2016,122,722,5635,25681
8610000US01034,01034,"ZIP 01034 (Granville, MA)",00,Total for all sectors,2016,31,112,980,5108
8610000US01035,01035,"ZIP 01035 (Hadley, MA)",00,Total for all sectors,2016,308,5514,37474,163897
8610000US01036,01036,"ZIP 01036 (Hampden, MA)",00,Total for all sectors,2016,116,943,7182,36283
8610000US01037,01037,"ZIP 01037 (Hardwick, MA)",00,Total for all sectors,2016,18,266,2997,13143
8610000US01038,01038,"ZIP 01038 (Hatfield, MA)",00,Total for all sectors,2016,61,1441,15949,67929
8610000US01039,01039,"ZIP 01039 (Haydenville, MA)",00,Total for all sectors,2016,28,234,2242,10005
8610000US01040,01040,"ZIP 01040 (Holyoke, MA)",00,Total for all sectors,2016,888,17098,183473,712203
8610000US01041,01041,"ZIP 01041 (Holyoke, MA)",00,Total for all sectors,2016,27,901,6826,29704
8610000US01050,01050,"ZIP 01050 (Huntington, MA)",00,Total for all sectors,2016,33,170,1156,5134
8610000US01053,01053,"ZIP 01053 (Leeds, MA)",00,Total for all sectors,2016,28,1466,25636,103747
8610000US01054,01054,"ZIP 01054 (Leverett, MA)",00,Total for all sectors,2016,33,104,795,3904
8610000US01056,01056,"ZIP 01056 (Ludlow, MA)",00,Total for all sectors,2016,404,4248,38704,189583
8610000US01057,01057,"ZIP 01057 (Monson, MA)",00,Total for all sectors,2016,144,818,7610,35251
8610000US01059,01059,"ZIP 01059 (North Amherst, MA)",00,Total for all sectors,2016,10,101,954,4125
8610000US01060,01060,"ZIP 01060 (Northampton, MA)",00,Total for all sectors,2016,773,12356,121521,518118
8610000US01061,01061,"ZIP 01061 (Northampton, MA)",00,Total for all sectors,2016,17,99,892,4625
8610000US01062,01062,"ZIP 01062 (Florence, MA)",00,Total for all sectors,2016,196,1853,18402,76465
8610000US01063,01063,"ZIP 01063 (Northampton, MA)",00,Total for all sectors,2016,4,h,D,D
8610000US01066,01066,"ZIP 01066 (North Hatfield, MA)",00,Total for all sectors,2016,9,b,D,D
8610000US01068,01068,"ZIP 01068 (Oakham, MA)",00,Total for all sectors,2016,29,68,596,3243
8610000US01069,01069,"ZIP 01069 (Palmer, MA)",00,Total for all sectors,2016,272,3593,38424,168169
8610000US01070,01070,"ZIP 01070 (Plainfield, MA)",00,Total for all sectors,2016,8,24,88,460
8610000US01071,01071,"ZIP 01071 (Russell, MA)",00,Total for all sectors,2016,20,95,455,2528
8610000US01072,01072,"ZIP 01072 (Shutesbury, MA)",00,Total for all sectors,2016,19,66,254,1649
8610000US01073,01073,"ZIP 01073 (Southampton, MA)",00,Total for all sectors,2016,129,1097,7662,34569
8610000US01074,01074,"ZIP 01074 (South Barre, MA)",00,Total for all sectors,2016,10,65,423,2203
8610000US01075,01075,"ZIP 01075 (South Hadley, MA)",00,Total for all sectors,2016,313,4800,37721,158300
8610000US01077,01077,"ZIP 01077 (Southwick, MA)",00,Total for all sectors,2016,219,1955,16728,75320
8610000US01079,01079,"ZIP 01079 (Thorndike, MA)",00,Total for all sectors,2016,14,69,537,2297
8610000US01080,01080,"ZIP 01080 (Three Rivers, MA)",00,Total for all sectors,2016,38,339,2940,12470
8610000US01081,01081,"ZIP 01081 (Wales, MA)",00,Total for all sectors,2016,14,48,315,1525
8610000US01082,01082,"ZIP 01082 (Ware, MA)",00,Total for all sectors,2016,158,2201,21444,79945
