,Unnamed: 0,scores,names
111,111,0.13394833954727894,school_wide_title_i_eligibility_Yes
119,119,0.07281039334897425,stnam
0,0,0.06501591317390208,math_all_grades_numvalid
4,4,0.05612235347054196,lon
113,113,0.049680472864120036,"ntnl_school_lunch_program_status_Yes, participating without using any Provision or the CEO"
3,3,0.04222933758164355,lat
50,50,0.041822693303559665,pct_title1
118,118,0.03034203105836952,read_full_time
103,103,0.028440564349674038,num_full_time
117,117,0.02829779169442967,math_full_time
1,1,0.02703209462110314,read_all_grades_numvalid
94,94,0.018429400212989062,before_credits_amount
98,98,0.01712557943372123,excess_income_credit_amount
71,71,0.016249716153129392,num_of_head_house_returns
56,56,0.01259292271442414,pct_charges
18,18,0.012114843441247084,str_trans
49,49,0.011864984039133865,pct_tot_fed
54,54,0.010434319204531022,pct_parent_gov_cont
84,84,0.00912992675690456,unemployeement_amount
53,53,0.008344585906633919,pct_rev_locale
52,52,0.008236466726299773,pcts_gen_form
26,26,0.00817728691396227,locr_charges
83,83,0.007899336583780413,num_returns_unemployeement
63,63,0.007654405439057537,per_pupil_tot_supp_serv
64,64,0.006933742418333301,per_pupil_support_staff
82,82,0.00677658222267213,business_professional_amount
67,67,0.006584106915440098,per_pupil_school_admin
66,66,0.006405259862992343,per_pupil_gen_admin
17,17,0.006315194292511637,str_spec_ed
62,62,0.00626400806922835,per_pupil_inst_bene
20,20,0.005920915687642014,tlocrev
65,65,0.005900510570231587,per_pupil_inst_support_staff
88,88,0.005899901953744499,state_local_general_amount
61,61,0.0054680376999868465,per_pupil_inst_sal_wag
104,104,0.005332482522871873,title_i_status
43,43,0.005317925942732593,t_pay_govt
21,21,0.005299537860222545,locr_tax
80,80,0.005277025833742239,state_local_amount
24,24,0.005221893626313693,locr_cities_counties
27,27,0.0050288931622884565,locr_othr
11,11,0.004991422197225869,fed_title1
59,59,0.004949079086081086,per_pupil_employee_ben
55,55,0.004948407778341819,pct_other_local_gov
102,102,0.004802209145342115,net_premium_credits_amount
47,47,0.004741414501621961,long_debt_retired
70,70,0.0046890283792243755,num_joint_returns
60,60,0.004658185747986936,per_pupil_inst_tot
25,25,0.004534202840255902,locr_other_schools
90,90,0.004464924852577767,personal_property_amounts
89,89,0.00437803770973601,number_returns_personal_property
97,97,0.004367802712352746,num_returns_excess_income_credit
19,19,0.004191378158654407,str_othr
38,38,0.0041281612134687895,t_curs_gen_admin
58,58,0.004094900122809301,per_pupil_salary_wages
51,51,0.004054407807332501,pct_tot_state
42,42,0.004002650764550307,t_capital
5,5,0.00397366952527005,num_establishments
14,14,0.003887242043000571,fedr_othr
44,44,0.0035320652295673,t_intrst
87,87,0.0034775073833586013,num_return_state_local_general
2,2,0.0034601661889140985,locale
22,22,0.003390033971935892,locr_prop_tax
57,57,0.003351620737774393,per_pupil_tot_spending
